Event Category,Gender,medal_type,country_name,country_code,athlete_full_name,Scored Unit,Scoring Type,game_season,game_year,game_location,game_name,Age,Year of Birth
Women's Snowboard Slopestyle,Woman,SILVER,Finland,FI,Enni RUKAJARVI,78.83,POINTS,Winter,2022,China,Beijing 2022,34,1990
Women's Snowboard Slopestyle,Woman,BRONZE,Finland,FI,Enni RUKAJARVI,78.83,POINTS,Winter,2022,China,Beijing 2022,34,1990
Women's Freestyle 76kg,Woman,GOLD,Canada,CA,Erica Elizabeth WIEBE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men's 50km Race Walk,Man,SILVER,Guatemala,GT,Erick BARRONDO,NULL,IRM,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Long Jump,Woman,BRONZE,Nigeria,NG,Ese BRUME,6.76,DISTANCE,Summer,2020,Japan,Tokyo 2020,28,1996
Men's Middle (69-75kg),Man,BRONZE,Philippines,PH,Eumir MARCIAL,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women,Woman,GOLD,United States of America,US,Carissa MOORE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 100m Freestyle,Woman,BRONZE,Australia,AU,Cate CAMPBELL,52052,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 100m Freestyle,Woman,BRONZE,Australia,AU,Cate CAMPBELL,52052,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 50m Freestyle,Woman,BRONZE,Australia,AU,Cate CAMPBELL,24036,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 50m Freestyle,Woman,BRONZE,Australia,AU,Cate CAMPBELL,24036,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 200m Butterfly,Man,SILVER,South Africa,ZA,Chad LE CLOS,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 200m Butterfly,Man,SILVER,South Africa,ZA,Chad LE CLOS,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 200m Butterfly,Man,GOLD,South Africa,ZA,Chad LE CLOS,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 200m Butterfly,Man,SILVER,South Africa,ZA,Chad LE CLOS,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women -52 kg,Woman,BRONZE,Belgium,BE,Charline VAN SNICK,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Women -52 kg,Woman,BRONZE,Great Britain,GB,Chelsie GILES,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Jumping Individual,Not Stated,BRONZE,Ireland,IE,Cian O'CONNOR,NULL,NULL,Summer,2020,Japan,Tokyo 2020,45,1979
Men's Pommel Horse,Man,BRONZE,ROC,ROC,David BELYAVSKIY,14.733,POINTS,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 61kg,Man,SILVER,Indonesia,ID,Eko Yuli IRAWAN,302,WEIGHT,Summer,2020,Japan,Tokyo 2020,35,1989
Men's 61kg,Man,BRONZE,Indonesia,ID,Eko Yuli IRAWAN,302,WEIGHT,Summer,2020,Japan,Tokyo 2020,35,1989
Women's Singles,Woman,BRONZE,Ukraine,UA,Elina SVITOLINA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
Women's Kayak Single 200m,Woman,SILVER,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Kayak Single 200m,Woman,BRONZE,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Kayak Single 200m,Woman,BRONZE,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Kayak Single 500m,Woman,SILVER,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Kayak Single 500m,Woman,BRONZE,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Kayak Single 500m,Woman,BRONZE,Denmark,DK,Emma JORGENSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's 1500m,Woman,GOLD,Kenya,KE,Faith Chepngetich KIPYEGON,04:01.4,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's 1500m,Woman,GOLD,Kenya,KE,Faith Chepngetich KIPYEGON,04:01.4,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Trap women,Woman,GOLD,Spain,ES,Fatima GALVEZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,37,1987
Men's 200m Butterfly,Man,BRONZE,Italy,IT,Federico BURDISSO,01:55.1,TIME,Summer,2020,Japan,Tokyo 2020,NULL,NULL
Men's 50km Mass Start Free,Man,SILVER,ROC,ROC,Denis SPITSOV,11:59.1,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 50km Mass Start Free,Man,SILVER,ROC,ROC,Denis SPITSOV,11:59.1,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,BRONZE,ROC,ROC,Denis SPITSOV,17:21.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,SILVER,ROC,ROC,Denis SPITSOV,17:21.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Men's 15km + 15km Skiathlon,Man,SILVER,ROC,ROC,Denis SPITSOV,17:21.2,TIME,Winter,2022,China,Beijing 2022,28,1996
Women's Freeski Halfpipe,Woman,SILVER,United States of America,US,Devin LOGAN,71,POINTS,Winter,2022,China,Beijing 2022,31,1993
Men's Singles,Man,BRONZE,Germany,DE,Dimitrij OVTCHAROV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,36,1988
Men's Singles,Man,BRONZE,Germany,DE,Dimitrij OVTCHAROV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,36,1988
Men's Singles,Man,BRONZE,Italy,IT,Dominik FISCHNALLER,03:50.3,TIME,Winter,2022,China,Beijing 2022,31,1993
Men's 15km Mass Start,Man,BRONZE,Italy,IT,Dominik WINDISCH,39:53.1,TIME,Winter,2022,China,Beijing 2022,35,1989
Men's 20km Individual,Man,BRONZE,Italy,IT,Dominik WINDISCH,51:26.3,TIME,Winter,2022,China,Beijing 2022,35,1989
Men's 12.5km Pursuit,Man,BRONZE,Italy,IT,Dominik WINDISCH,43:42.1,TIME,Winter,2022,China,Beijing 2022,35,1989
Women's 10km Pursuit,Woman,SILVER,Sweden,SE,Elvira OEBERG,36:23.4,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 12.5km Mass Start,Woman,SILVER,Sweden,SE,Elvira OEBERG,41:56.2,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 12.5km Mass Start,Woman,SILVER,Sweden,SE,Elvira OEBERG,41:56.2,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 15km Individual,Woman,SILVER,Sweden,SE,Elvira OEBERG,45:55.2,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 15km Individual,Woman,SILVER,Sweden,SE,Elvira OEBERG,45:55.2,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 7.5km Sprint,Woman,SILVER,Sweden,SE,Elvira OEBERG,21:15.1,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 7.5km Sprint,Woman,SILVER,Sweden,SE,Elvira OEBERG,21:15.1,TIME,Winter,2022,China,Beijing 2022,25,1999
Women's 1500m Freestyle,Woman,SILVER,United States of America,US,Erica SULLIVAN,15:41.4,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Men's 20km Individual,Man,SILVER,Germany,DE,Erik LESSER,56:00.5,TIME,Winter,2022,China,Beijing 2022,36,1988
Men's 50km Race Walk,Man,BRONZE,Canada,CA,Evan DUNFEE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 3m Springboard,Man,SILVER,ROC,ROC,Evgenii KUZNETSOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Women's Aerials,Woman,BRONZE,People's Republic of China,CN,Fanyu KONG,83.78,POINTS,Winter,2022,China,Beijing 2022,31,1993
Women's Individual,Woman,SILVER,France,FR,Elodie CLOUVEL,1347,POINTS,Summer,2020,Japan,Tokyo 2020,35,1989
Women's 200m Backstroke,Woman,SILVER,Australia,AU,Emily SEEBOHM,02:09.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 200m Backstroke,Woman,BRONZE,Australia,AU,Emily SEEBOHM,02:09.0,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 100m Backstroke,Woman,SILVER,Australia,AU,Emily SEEBOHM,58045,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 100m Backstroke,Woman,BRONZE,Australia,AU,Emily SEEBOHM,58045,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Women's 500m,Woman,GOLD,United States of America,US,Erin JACKSON,37040,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's 800m,Man,SILVER,Kenya,KE,Ferguson Cheruiyot ROTICH,01:44.2,TIME,Summer,2020,Japan,Tokyo 2020,35,1989
Men's 10km,Man,GOLD,Netherlands,NL,Ferry WEERTMAN,51:31.1,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Freestyle 74kg,Man,BRONZE,Italy,IT,Frank CHAMIZO MARQUEZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Fly (48-52kg),Man,GOLD,Great Britain,GB,Galal YAFAI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Marathon,Man,BRONZE,United States of America,US,Galen RUPP,NULL,NULL,Summer,2020,Japan,Tokyo 2020,38,1986
Men's Marathon,Man,SILVER,United States of America,US,Galen RUPP,NULL,NULL,Summer,2020,Japan,Tokyo 2020,38,1986
Women's 3m Springboard,Woman,SILVER,People's Republic of China,CN,Han WANG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's Giant Slalom,Man,BRONZE,France,FR,Alexis PINTURAULT,02:11.0,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's Singles,Woman,GOLD,ROC,ROC,Anastasia PAVLYUCHENKOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Snowboard Big Air,Woman,GOLD,Austria,AT,Anna GASSER,62.25,POINTS,Winter,2022,China,Beijing 2022,33,1991
Women's Snowboard Big Air,Woman,GOLD,Austria,AT,Anna GASSER,62.25,POINTS,Winter,2022,China,Beijing 2022,33,1991
Women's Snowboard Slopestyle,Woman,GOLD,Austria,AT,Anna GASSER,75,POINTS,Winter,2022,China,Beijing 2022,33,1991
Women's Snowboard Slopestyle,Woman,GOLD,Austria,AT,Anna GASSER,75,POINTS,Winter,2022,China,Beijing 2022,33,1991
Laser Radial Women,Woman,GOLD,Denmark,DK,Anne-Marie RINDOM,78,POINTS,Summer,2020,Japan,Tokyo 2020,33,1991
Laser Radial Women,Woman,BRONZE,Denmark,DK,Anne-Marie RINDOM,78,POINTS,Summer,2020,Japan,Tokyo 2020,33,1991
10m Air Pistol Men,Not Stated,SILVER,ROC,ROC,Artem CHERNOUSOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Men's Snowboard Halfpipe,Man,SILVER,Japan,JP,Ayumu HIRANO,93.25,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Snowboard Halfpipe,Man,GOLD,Japan,JP,Ayumu HIRANO,93.25,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Snowboard Halfpipe,Man,SILVER,Japan,JP,Ayumu HIRANO,93.25,POINTS,Winter,2022,China,Beijing 2022,26,1998
Men's Park,Man,SILVER,Japan,JP,Ayumu HIRANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 100m Backstroke,Man,BRONZE,ROC,ROC,Evgeny RYLOV,53022,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 100m Backstroke,Man,GOLD,ROC,ROC,Evgeny RYLOV,53022,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 100m Backstroke,Man,GOLD,ROC,ROC,Evgeny RYLOV,53022,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 200m Backstroke,Man,BRONZE,ROC,ROC,Evgeny RYLOV,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 200m Backstroke,Man,GOLD,ROC,ROC,Evgeny RYLOV,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's 200m Backstroke,Man,GOLD,ROC,ROC,Evgeny RYLOV,01:56.0,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men -73 kg,Man,GOLD,Italy,IT,Fabio BASILE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
"Women's 10,000m",Woman,SILVER,Burundi,BI,Francine NIYONSABA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Trap Men,Not Stated,SILVER,San Marino,SM,Gian Marco BERTI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,42,1982
Men's Slalom,Man,GOLD,Italy,IT,Giuliano RAZZOLI,01:45.0,TIME,Winter,2022,China,Beijing 2022,40,1984
Men -100 kg,Man,SILVER,Republic of Korea,KR,Guham CHO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Freestyle 65kg,Man,SILVER,Azerbaijan,AZ,Haji ALIYEV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's Light (57-63kg),Man,BRONZE,Armenia,AM,Hovhannes BACHKOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Women's Singles,Woman,BRONZE,Chinese Taipei,TW,I-Ching CHENG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
10m Air Pistol Men,Not Stated,SILVER,Brazil,BR,Felipe Almeida WU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Singles,Man,GOLD,Germany,DE,Felix LOCH,03:50.1,TIME,Winter,2022,China,Beijing 2022,35,1989
Men's Singles,Man,GOLD,Germany,DE,Felix LOCH,03:50.1,TIME,Winter,2022,China,Beijing 2022,35,1989
Women's 400m Hurdles,Woman,BRONZE,Netherlands,NL,Femke BOL,54043,TIME,Summer,2020,Japan,Tokyo 2020,24,2000
Men's Canoe Single 1000m,Man,GOLD,Cuba,CU,Fernando Dayan JORGE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 10km,Man,BRONZE,Germany,DE,Florian WELLBROCK,48:34.2,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 10km,Man,GOLD,Germany,DE,Florian WELLBROCK,48:34.2,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 800m Freestyle,Man,BRONZE,Germany,DE,Florian WELLBROCK,07:42.2,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 800m Freestyle,Man,GOLD,Germany,DE,Florian WELLBROCK,07:42.2,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 1500m Freestyle,Man,BRONZE,Germany,DE,Florian WELLBROCK,14:49.4,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 1500m Freestyle,Man,GOLD,Germany,DE,Florian WELLBROCK,14:49.4,TIME,Summer,2020,Japan,Tokyo 2020,27,1997
Men's Greco-Roman 67kg,Man,BRONZE,Germany,DE,Frank STAEBLER,11,POINTS,Summer,2020,Japan,Tokyo 2020,35,1989
Men's Middle (69-75kg),Man,BRONZE,ROC,ROC,Gleb BAKSHI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's 5000m,Woman,BRONZE,Italy,IT,Francesca LOLLOBRIGIDA,06:52.2,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 5000m,Woman,SILVER,Italy,IT,Francesca LOLLOBRIGIDA,06:52.2,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 3000m,Woman,BRONZE,Italy,IT,Francesca LOLLOBRIGIDA,03:58.0,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 3000m,Woman,SILVER,Italy,IT,Francesca LOLLOBRIGIDA,03:58.0,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 1500m,Woman,BRONZE,Italy,IT,Francesca LOLLOBRIGIDA,01:55.1,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's 1500m,Woman,SILVER,Italy,IT,Francesca LOLLOBRIGIDA,01:55.1,TIME,Winter,2022,China,Beijing 2022,33,1991
Women's Mass Start,Woman,BRONZE,Italy,IT,Francesca LOLLOBRIGIDA,NULL,NULL,Winter,2022,China,Beijing 2022,33,1991
Women's Mass Start,Woman,SILVER,Italy,IT,Francesca LOLLOBRIGIDA,NULL,NULL,Winter,2022,China,Beijing 2022,33,1991
Women's Street,Woman,BRONZE,Japan,JP,Funa NAKAYAMA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,19,2005
Women's Individual,Woman,SILVER,Great Britain,GB,Georgia TAYLOR-BROWN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,30,1994
Women's All-Around,Woman,BRONZE,Switzerland,CH,Giulia STEINGRUBER,53.366,POINTS,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 10km,Man,BRONZE,Italy,IT,Gregorio PALTRINIERI,49:01.0,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 10km,Man,SILVER,Italy,IT,Gregorio PALTRINIERI,49:01.0,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's 3m Springboard,Woman,GOLD,People's Republic of China,CN,Han WANG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Men's 110m Hurdles,Man,GOLD,Jamaica,JM,Hansle PARCHMENT,13023,TIME,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 110m Hurdles,Man,BRONZE,Jamaica,JM,Hansle PARCHMENT,13023,TIME,Summer,2020,Japan,Tokyo 2020,34,1990
Men's Rings,Man,SILVER,People's Republic of China,CN,Hao YOU,14.8,POINTS,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Parallel Bars,Man,SILVER,People's Republic of China,CN,Hao YOU,15.466,POINTS,Summer,2020,Japan,Tokyo 2020,32,1992
Women's Freestyle 57kg,Woman,GOLD,United States of America,US,Helen Louise MAROULIS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Freestyle 57kg,Woman,BRONZE,United States of America,US,Helen Louise MAROULIS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Welter (64-69kg),Woman,SILVER,People's Republic of China,CN,Hong GU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,36,1988
Women's Fly (48-51kg),Woman,BRONZE,Chinese Taipei,TW,Hsiao-Wen HUANG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Women +78 kg,Woman,SILVER,Cuba,CU,Idalys ORTIZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women +78 kg,Woman,GOLD,Cuba,CU,Idalys ORTIZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women +78 kg,Woman,SILVER,Cuba,CU,Idalys ORTIZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Women +78 kg,Woman,BRONZE,Cuba,CU,Idalys ORTIZ,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men's Parallel Bars,Man,BRONZE,ROC,ROC,David BELYAVSKIY,15.2,POINTS,Summer,2020,Japan,Tokyo 2020,32,1992
Men's Heavy (81-91kg),Man,BRONZE,New Zealand,NZ,David NYIKA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Men -90 kg,Man,BRONZE,Uzbekistan,UZ,Davlat BOBONOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Men's Park,Man,BRONZE,Great Britain,GB,Declan BROOKS,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Men,Man,SILVER,People's Republic of China,CN,Dong DONG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men,Man,GOLD,People's Republic of China,CN,Dong DONG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men,Man,SILVER,People's Republic of China,CN,Dong DONG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men,Man,BRONZE,People's Republic of China,CN,Dong DONG,NULL,NULL,Summer,2020,Japan,Tokyo 2020,35,1989
Men's Hammer Throw,Man,SILVER,Norway,NO,Eivind HENRIKSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's Omnium,Man,BRONZE,Italy,IT,Elia VIVIANI,124,POINTS,Summer,2020,Japan,Tokyo 2020,35,1989
Men's Omnium,Man,GOLD,Italy,IT,Elia VIVIANI,124,POINTS,Summer,2020,Japan,Tokyo 2020,35,1989
Women's 100m Freestyle,Woman,BRONZE,Australia,AU,Emma MCKEON,51096,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's 100m Freestyle,Woman,GOLD,Australia,AU,Emma MCKEON,51096,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Women's 100m Freestyle,Woman,GOLD,Australia,AU,Emma MCKEON,51096,TIME,Summer,2020,Japan,Tokyo 2020,30,1994
Men's Park,Man,GOLD,Japan,JP,Ayumu HIRANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's Park,Man,SILVER,Japan,JP,Ayumu HIRANO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 10km Sprint,Man,BRONZE,Germany,DE,Benedikt DOLL,25:05.3,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's 12.5km Pursuit,Man,BRONZE,Germany,DE,Benedikt DOLL,44:03.1,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's 20km Individual,Man,BRONZE,Germany,DE,Benedikt DOLL,49:55.4,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's 15km Mass Start,Man,BRONZE,Germany,DE,Benedikt DOLL,40:46.1,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's Parallel Giant Slalom,Man,GOLD,Austria,AT,Benjamin KARL,NULL,NULL,Winter,2022,China,Beijing 2022,39,1985
Men's Parallel Giant Slalom,Man,BRONZE,Austria,AT,Benjamin KARL,NULL,NULL,Winter,2022,China,Beijing 2022,39,1985
Men's Parallel Giant Slalom,Man,SILVER,Austria,AT,Benjamin KARL,NULL,NULL,Winter,2022,China,Beijing 2022,39,1985
Men's Light Heavy (75-81kg),Man,SILVER,Great Britain,GB,Benjamin WHITTAKER,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Women +67kg,Woman,BRONZE,Great Britain,GB,Bianca WALKDEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women +67kg,Woman,BRONZE,Great Britain,GB,Bianca WALKDEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Freestyle 53kg,Woman,BRONZE,Mongolia,MN,Bolortuya BAT OCHIR,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Men's 10km Sprint,Man,BRONZE,Italy,IT,Dominik WINDISCH,25:52.3,TIME,Winter,2022,China,Beijing 2022,35,1989
Women's Monobob,Woman,BRONZE,United States of America,US,Elana MEYERS TAYLOR,04:21.1,TIME,Winter,2022,China,Beijing 2022,40,1984
Women's Monobob,Woman,SILVER,United States of America,US,Elana MEYERS TAYLOR,04:21.1,TIME,Winter,2022,China,Beijing 2022,40,1984
Women's Monobob,Woman,SILVER,United States of America,US,Elana MEYERS TAYLOR,04:21.1,TIME,Winter,2022,China,Beijing 2022,40,1984
Women's Monobob,Woman,BRONZE,United States of America,US,Elana MEYERS TAYLOR,04:21.1,TIME,Winter,2022,China,Beijing 2022,40,1984
Women's Monobob,Woman,SILVER,United States of America,US,Elana MEYERS TAYLOR,04:21.1,TIME,Winter,2022,China,Beijing 2022,40,1984
Women,Woman,BRONZE,ROC,ROC,Elena NIKITINA,04:11.1,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's Greco-Roman 60kg,Man,BRONZE,Uzbekistan,UZ,Elmurat TASMURADOV,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Keirin,Woman,SILVER,Germany,DE,Emma HINZE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Women's Sprint,Woman,SILVER,Germany,DE,Emma HINZE,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Men's Triple Jump,Man,BRONZE,Burkina Faso,BF,Fabrice ZANGO HUGUES,16.83,DISTANCE,Summer,2020,Japan,Tokyo 2020,31,1993
Women's Ski Cross,Woman,BRONZE,Switzerland,CH,Fanny SMITH,NULL,NULL,Winter,2022,China,Beijing 2022,32,1992
Men's 61kg,Man,BRONZE,Kazakhstan,KZ,Igor SON,294,WEIGHT,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 10m Platform,Man,SILVER,Mexico,MX,Ivan GARCIA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,31,1993
Men's Keirin,Man,BRONZE,Great Britain,GB,Jack CARLIN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Men's Sprint,Man,BRONZE,Great Britain,GB,Jack CARLIN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,27,1997
Women,Woman,SILVER,Australia,AU,Jackie NARRACOTT,04:08.2,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's All-Around,Woman,GOLD,United States of America,US,Jade CAREY,54.199,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's Floor Exercise,Woman,GOLD,United States of America,US,Jade CAREY,14.1,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's Vault,Woman,GOLD,United States of America,US,Jade CAREY,12.416,POINTS,Summer,2020,Japan,Tokyo 2020,24,2000
Women's 100m Hurdles,Woman,GOLD,Puerto Rico,PR,Jasmine CAMACHO-QUINN,12.41,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Men's Kayak Single 1000m,Man,GOLD,Australia,AU,Jean VAN DER WESTHUYZEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Skeet Men,Not Stated,SILVER,Denmark,DK,Jesper HANSEN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,44,1980
Trap women,Woman,GOLD,Italy,IT,Jessica ROSSI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
25m Pistol Women,Woman,BRONZE,People's Republic of China,CN,Jiaruixuan XIAO,NULL,NULL,Summer,2020,Japan,Tokyo 2020,22,2002
Men's Road Race,Man,GOLD,Belgium,BE,Greg VAN AVERMAET,NULL,IRM,Summer,2020,Japan,Tokyo 2020,39,1985
Men's Aerials,Man,GOLD,People's Republic of China,CN,Guangpu QI,127.88,POINTS,Winter,2022,China,Beijing 2022,34,1990
Men's Middle (69-75kg),Man,GOLD,Brazil,BR,Hebert SOUSA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,26,1998
Women's 59kg,Woman,BRONZE,Chinese Taipei,TW,Hsing-Chun KUO,236,WEIGHT,Summer,2020,Japan,Tokyo 2020,31,1993
Women's 59kg,Woman,GOLD,Chinese Taipei,TW,Hsing-Chun KUO,236,WEIGHT,Summer,2020,Japan,Tokyo 2020,31,1993
Women's 3000m Steeplechase,Woman,BRONZE,Kenya,KE,Hyvin KIYENG,09:23.1,TIME,Summer,2020,Japan,Tokyo 2020,32,1992
Men's 15km Classic,Man,GOLD,Finland,FI,Iivo NISKANEN,37:55.1,TIME,Winter,2022,China,Beijing 2022,32,1992
Men's 15km Classic,Man,GOLD,Finland,FI,Iivo NISKANEN,37:55.1,TIME,Winter,2022,China,Beijing 2022,32,1992
