Event Category,Gender,medal_type,country_name,country_code,athlete_full_name,Scored Unit,Scoring Type,game_season,game_year,game_location,game_name,Age,Year of Birth
Women's Cross-country,Woman,SILVER,Poland,PL,Maja WLOSZCZOWSKA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,41,1983
Women -52 kg,Woman,GOLD,Kosovo,XK,Majlinda KELMENDI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
Women's Hammer Throw,Woman,BRONZE,Poland,PL,Malwina KOPRON,73.06,DISTANCE,Summer,2020,Japan,Tokyo 2020,30,1994
Men's 10km,Man,BRONZE,France,FR,Marc-Antoine OLIVIER,50:23.0,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Women's High Jump,Woman,GOLD,ROC,ROC,Mariya LASITSKENE,1.95,DISTANCE,Summer,2020,Japan,Tokyo 2020,31,1993
Men's Keirin,Man,SILVER,Netherlands,NL,Matthijs BUCHLI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,32,1992
Women's Aerials,Woman,SILVER,People's Republic of China,CN,Mengtao XU,101.1,POINTS,Winter,2022,China,Beijing 2022,34,1990
Women's Aerials,Woman,GOLD,People's Republic of China,CN,Mengtao XU,101.1,POINTS,Winter,2022,China,Beijing 2022,34,1990
Men's Aerials,Man,SILVER,Ukraine,UA,Oleksandr ABRAMENKO,120.36,POINTS,Winter,2022,China,Beijing 2022,36,1988
Men's Aerials,Man,GOLD,Ukraine,UA,Oleksandr ABRAMENKO,120.36,POINTS,Winter,2022,China,Beijing 2022,36,1988
Men's Middle (69-75kg),Man,SILVER,Ukraine,UA,Oleksandr KHYZHNIAK,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's Keirin,Woman,SILVER,Ukraine,UA,Olena STARIKOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Sprint,Woman,SILVER,Ukraine,UA,Olena STARIKOVA,NULL,NULL,Summer,2020,Japan,Tokyo 2020,28,1996
Women's Sabre Individual,Woman,BRONZE,Ukraine,UA,Olga KHARLAN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Women's Sabre Individual,Woman,BRONZE,Ukraine,UA,Olga KHARLAN,NULL,NULL,Summer,2020,Japan,Tokyo 2020,34,1990
Men's Greco-Roman 67kg,Man,SILVER,Ukraine,UA,Parviz NASIBOV,10,POINTS,Summer,2020,Japan,Tokyo 2020,26,1998
Men's 5000m,Man,BRONZE,United States of America,US,Paul Kipkemoi CHELIMO,13:30.1,TIME,Summer,2020,Japan,Tokyo 2020,34,1990
Men's 5000m,Man,SILVER,United States of America,US,Paul Kipkemoi CHELIMO,13:30.1,TIME,Summer,2020,Japan,Tokyo 2020,34,1990
Women's Singles,Woman,SILVER,India,IN,Pusarla Venkata SINDHU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's Singles,Woman,BRONZE,India,IN,Pusarla Venkata SINDHU,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's Middle (69-75kg),Woman,SILVER,People's Republic of China,CN,Qian LI,NULL,NULL,Summer,2020,Japan,Tokyo 2020,38,1986
Women's Floor Exercise,Woman,BRONZE,Japan,JP,Mai MURAKAMI,13.933,POINTS,Summer,2020,Japan,Tokyo 2020,28,1996
Women's All-Around,Woman,BRONZE,Japan,JP,Mai MURAKAMI,56.032,POINTS,Summer,2020,Japan,Tokyo 2020,28,1996
Men's NH Individual,Man,SILVER,Austria,AT,Manuel FETTNER,270.8,POINTS,Winter,2022,China,Beijing 2022,39,1985
Men's LH Individual,Man,SILVER,Austria,AT,Manuel FETTNER,272.7,POINTS,Winter,2022,China,Beijing 2022,39,1985
Women's Ski Cross,Woman,GOLD,Canada,CA,Marielle THOMPSON,NULL,NULL,Winter,2022,China,Beijing 2022,32,1992
Women's Ski Cross,Woman,SILVER,Canada,CA,Marielle THOMPSON,NULL,NULL,Winter,2022,China,Beijing 2022,32,1992
Women's 400m,Woman,SILVER,Dominican Republic,DO,Marileidy PAULINO,50006,TIME,Summer,2020,Japan,Tokyo 2020,28,1996
Laser Radial Women,Woman,GOLD,Netherlands,NL,Marit BOUWMEESTER,83,POINTS,Summer,2020,Japan,Tokyo 2020,36,1988
Laser Radial Women,Woman,BRONZE,Netherlands,NL,Marit BOUWMEESTER,83,POINTS,Summer,2020,Japan,Tokyo 2020,36,1988
Laser Radial Women,Woman,SILVER,Netherlands,NL,Marit BOUWMEESTER,83,POINTS,Summer,2020,Japan,Tokyo 2020,36,1988
Women's 10km Pursuit,Woman,BRONZE,Norway,NO,Marte Olsbu ROEISELAND,34:47.1,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 10km Pursuit,Woman,BRONZE,Norway,NO,Marte Olsbu ROEISELAND,34:47.1,TIME,Winter,2022,China,Beijing 2022,34,1990
Women's 10km Pursuit,Woman,GOLD,Norway,NO,Marte Olsbu ROEISELAND,34:47.1,TIME,Winter,2022,China,Beijing 2022,34,1990
Men's 20km Individual,Man,SILVER,Slovenia,SI,Jakov FAK,52:48.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Men's 20km Individual,Man,BRONZE,Slovenia,SI,Jakov FAK,52:48.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Men's 10km Sprint,Man,SILVER,Slovenia,SI,Jakov FAK,25:48.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Men's 10km Sprint,Man,BRONZE,Slovenia,SI,Jakov FAK,25:48.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Men's 12.5km Pursuit,Man,SILVER,Slovenia,SI,Jakov FAK,43:59.0,TIME,Winter,2022,China,Beijing 2022,37,1987
Men's 12.5km Pursuit,Man,BRONZE,Slovenia,SI,Jakov FAK,43:59.0,TIME,Winter,2022,China,Beijing 2022,37,1987
25m Rapid Fire Pistol Men,Not Stated,GOLD,France,FR,Jean QUIQUAMPOIX,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
25m Rapid Fire Pistol Men,Not Stated,SILVER,France,FR,Jean QUIQUAMPOIX,NULL,NULL,Summer,2020,Japan,Tokyo 2020,29,1995
Women's 3m Springboard,Woman,SILVER,Canada,CA,Jennifer ABEL,NULL,NULL,Summer,2020,Japan,Tokyo 2020,33,1991
